date,date_id,year,month,day,week_number,day_of_week
2015-07-01,1,2015,7,1,27,2
2015-07-02,2,2015,7,2,27,3
2015-07-03,3,2015,7,3,27,4
2015-07-04,4,2015,7,4,27,5
2015-07-05,5,2015,7,5,27,6
2015-07-06,6,2015,7,6,28,0
2015-07-07,7,2015,7,7,28,1
2015-07-08,8,2015,7,8,28,2
2015-07-09,9,2015,7,9,28,3
2015-07-10,10,2015,7,10,28,4
2015-07-11,11,2015,7,11,28,5
2015-07-12,12,2015,7,12,28,6
2015-07-13,13,2015,7,13,29,0
2015-07-14,14,2015,7,14,29,1
2015-07-15,15,2015,7,15,29,2
2015-07-16,16,2015,7,16,29,3
2015-07-17,17,2015,7,17,29,4
2015-07-18,18,2015,7,18,29,5
2015-07-19,19,2015,7,19,29,6
2015-07-20,20,2015,7,20,30,0
2015-07-21,21,2015,7,21,30,1
2015-07-22,22,2015,7,22,30,2
2015-07-23,23,2015,7,23,30,3
2015-07-24,24,2015,7,24,30,4
2015-07-25,25,2015,7,25,30,5
2015-07-26,26,2015,7,26,30,6
2015-07-27,27,2015,7,27,31,0
2015-07-28,28,2015,7,28,31,1
2015-07-29,29,2015,7,29,31,2
2015-07-30,30,2015,7,30,31,3
2015-07-31,31,2015,7,31,31,4
2015-08-01,32,2015,8,1,31,5
2015-08-02,33,2015,8,2,31,6
2015-08-03,34,2015,8,3,32,0
2015-08-04,35,2015,8,4,32,1
2015-08-05,36,2015,8,5,32,2
2015-08-06,37,2015,8,6,32,3
2015-08-07,38,2015,8,7,32,4
2015-08-08,39,2015,8,8,32,5
2015-08-09,40,2015,8,9,32,6
2015-08-10,41,2015,8,10,33,0
2015-08-11,42,2015,8,11,33,1
2015-08-12,43,2015,8,12,33,2
2015-08-13,44,2015,8,13,33,3
2015-08-14,45,2015,8,14,33,4
2015-08-15,46,2015,8,15,33,5
2015-08-16,47,2015,8,16,33,6
2015-08-17,48,2015,8,17,34,0
2015-08-18,49,2015,8,18,34,1
2015-08-19,50,2015,8,19,34,2
2015-08-20,51,2015,8,20,34,3
2015-08-21,52,2015,8,21,34,4
2015-08-22,53,2015,8,22,34,5
2015-08-23,54,2015,8,23,34,6
2015-08-24,55,2015,8,24,35,0
2015-08-25,56,2015,8,25,35,1
2015-08-26,57,2015,8,26,35,2
2015-08-27,58,2015,8,27,35,3
2015-08-28,59,2015,8,28,35,4
2015-08-29,60,2015,8,29,35,5
2015-08-30,61,2015,8,30,35,6
2015-08-31,62,2015,8,31,36,0
2015-09-01,63,2015,9,1,36,1
2015-09-02,64,2015,9,2,36,2
2015-09-03,65,2015,9,3,36,3
2015-09-04,66,2015,9,4,36,4
2015-09-05,67,2015,9,5,36,5
2015-09-06,68,2015,9,6,36,6
2015-09-07,69,2015,9,7,37,0
2015-09-08,70,2015,9,8,37,1
2015-09-09,71,2015,9,9,37,2
2015-09-10,72,2015,9,10,37,3
2015-09-11,73,2015,9,11,37,4
2015-09-12,74,2015,9,12,37,5
2015-09-13,75,2015,9,13,37,6
2015-09-14,76,2015,9,14,38,0
2015-09-15,77,2015,9,15,38,1
2015-09-16,78,2015,9,16,38,2
2015-09-17,79,2015,9,17,38,3
2015-09-18,80,2015,9,18,38,4
2015-09-19,81,2015,9,19,38,5
2015-09-20,82,2015,9,20,38,6
2015-09-21,83,2015,9,21,39,0
2015-09-22,84,2015,9,22,39,1
2015-09-23,85,2015,9,23,39,2
2015-09-24,86,2015,9,24,39,3
2015-09-25,87,2015,9,25,39,4
2015-09-26,88,2015,9,26,39,5
2015-09-27,89,2015,9,27,39,6
2015-09-28,90,2015,9,28,40,0
2015-09-29,91,2015,9,29,40,1
2015-09-30,92,2015,9,30,40,2
2015-10-01,93,2015,10,1,40,3
2015-10-02,94,2015,10,2,40,4
2015-10-03,95,2015,10,3,40,5
2015-10-04,96,2015,10,4,40,6
2015-10-05,97,2015,10,5,41,0
2015-10-06,98,2015,10,6,41,1
2015-10-07,99,2015,10,7,41,2
2015-10-08,100,2015,10,8,41,3
2015-10-09,101,2015,10,9,41,4
2015-10-10,102,2015,10,10,41,5
2015-10-11,103,2015,10,11,41,6
2015-10-12,104,2015,10,12,42,0
2015-10-13,105,2015,10,13,42,1
2015-10-14,106,2015,10,14,42,2
2015-10-15,107,2015,10,15,42,3
2015-10-16,108,2015,10,16,42,4
2015-10-17,109,2015,10,17,42,5
2015-10-18,110,2015,10,18,42,6
2015-10-19,111,2015,10,19,43,0
2015-10-20,112,2015,10,20,43,1
2015-10-21,113,2015,10,21,43,2
2015-10-22,114,2015,10,22,43,3
2015-10-23,115,2015,10,23,43,4
2015-10-24,116,2015,10,24,43,5
2015-10-25,117,2015,10,25,43,6
2015-10-26,118,2015,10,26,44,0
2015-10-27,119,2015,10,27,44,1
2015-10-28,120,2015,10,28,44,2
2015-10-29,121,2015,10,29,44,3
2015-10-30,122,2015,10,30,44,4
2015-10-31,123,2015,10,31,44,5
2015-11-01,124,2015,11,1,44,6
2015-11-02,125,2015,11,2,45,0
2015-11-03,126,2015,11,3,45,1
2015-11-04,127,2015,11,4,45,2
2015-11-05,128,2015,11,5,45,3
2015-11-06,129,2015,11,6,45,4
2015-11-07,130,2015,11,7,45,5
2015-11-08,131,2015,11,8,45,6
2015-11-09,132,2015,11,9,46,0
2015-11-10,133,2015,11,10,46,1
2015-11-11,134,2015,11,11,46,2
2015-11-12,135,2015,11,12,46,3
2015-11-13,136,2015,11,13,46,4
2015-11-14,137,2015,11,14,46,5
2015-11-15,138,2015,11,15,46,6
2015-11-16,139,2015,11,16,47,0
2015-11-17,140,2015,11,17,47,1
2015-11-18,141,2015,11,18,47,2
2015-11-19,142,2015,11,19,47,3
2015-11-20,143,2015,11,20,47,4
2015-11-21,144,2015,11,21,47,5
2015-11-23,145,2015,11,23,48,0
2015-11-24,146,2015,11,24,48,1
2015-11-25,147,2015,11,25,48,2
2015-11-26,148,2015,11,26,48,3
2015-11-27,149,2015,11,27,48,4
2015-11-28,150,2015,11,28,48,5
2015-11-29,151,2015,11,29,48,6
2015-11-30,152,2015,11,30,49,0
2015-12-01,153,2015,12,1,49,1
2015-12-02,154,2015,12,2,49,2
2015-12-03,155,2015,12,3,49,3
2015-12-04,156,2015,12,4,49,4
2015-12-05,157,2015,12,5,49,5
2015-12-06,158,2015,12,6,49,6
